"id";"surname";"name";"patronymic";"post";"identification_card";"login";"password";"role"
1;"Иванов";"Иван";"Иванович";"Старший лейтенант";"11345678";"loginU1";"password1";2
2;"Петров";"Петр";"Петрович";"Лейтенант";"13456789";"loginU2";"password2";1
3;"Сидоров";"Сидор";"Сидорович";"Капитан";"34567890";"loginU3";"password3";1
4;"Попов";"Поп";"Попович";"Полковник";"45678901";"loginU4";"password4";1
5;"Васильев";"Василий";"Васильевич";"Майор";"56789011";"loginU5";"password5";1
6;"Кузнецов";"Кузьма";"Кузьмич";"Подполковник";"67890113";"loginU6";"password6";1
7;"Семенов";"Семён";"Семенович";"Старший лейтенант";"78901134";"loginU7";"password7";1
8;"Лебедев";"Лебедь";"Лебедевич";"Лейтенант";"89011345";"loginU8";"password8";1
9;"Григорьев";"Григорий";"Григорьевич";"Капитан";"90113456";"loginU9";"password9";1
10;"Романов";"Роман";"Романович";"Полковник";"11345678";"loginU10";"password10";1
11;"Тихонов";"Тихон";"Тихонович";"Майор";"13456789";"loginU11";"password11";1
12;"Фролов";"Фрол";"Фролович";"Подполковник";"34567890";"loginU12";"password12";1
13;"Морозов";"Мороз";"Морозович";"Старший лейтенант";"45678901";"loginU13";"password13";3
14;"Александров";"Александр";"Александрович";"Лейтенант";"56789011";"loginU14";"password14";1
15;"Федоров";"Фёдор";"Федорович";"Капитан";"67890113";"loginU15";"password15";1
16;"Зайцев";"Зай";"Зайцевич";"Полковник";"78901134";"loginU16";"password16";1
17;"Волков";"Волк";"Волкович";"Майор";"89011345";"loginU17";"password17";1
18;"Ковалев";"Коваль";"Ковалевич";"Подполковник";"90113456";"loginU18";"password18";1
19;"Соловьев";"Соловей";"Соловьевич";"Старший лейтенант";"11345678";"loginU19";"password19";1
20;"Николаев";"Николай";"Николаевич";"Лейтенант";"13456789";"loginU20";"password20";1
21;"Ильин";"Илья";"Ильиевич";"Капитан";"34567890";"loginU21";"password21";2
22;"Тимофеев";"Тимофей";"Тимофеевич";"Полковник";"45678901";"loginU22";"password22";1
23;"Мельников";"Мельник";"Мельникович";"Майор";"56789011";"loginU23";"password23";1
24;"Коротков";"Короткий";"Короткович";"Подполковник";"67890113";"loginU24";"password24";1
25;"Беляев";"Белый";"Белыйевич";"Старший лейтенант";"78901134";"loginU25";"password25";1
26;"Смирнов";"Смирный";"Смирнович";"Лейтенант";"89011345";"loginU26";"password26";1
27;"Маслов";"Масло";"Маслович";"Капитан";"90113456";"loginU27";"password27";1
28;"Кудряшов";"Кудряша";"Кудряшович";"Полковник";"11345678";"loginU28";"password28";1
29;"Семенов";"Семен";"Семенович";"Майор";"13456789";"loginU29";"password29";3
30;"Рябов";"Ряб";"Рябович";"Подполковник";"34567890";"loginU30";"password30";3
31;"Кобзев";"Кобза";"Кобзевич";"Старший лейтенант";"45678901";"loginU31";"password31";1
32;"Шевченко";"Шевчик";"Шевченкович";"Лейтенант";"56789011";"loginU31";"password31";1
33;"Капустин";"Капуста";"Капустович";"Капитан";"67890113";"loginU33";"password33";1
34;"Неверов";"Невера";"Неверович";"Полковник";"78901134";"loginU34";"password34";1
35;"Лавров";"Лавр";"Лаврович";"Майор";"89011345";"loginU35";"password35";1
36;"Алексеев";"Алексей";"Алексеевич";"Подполковник";"90113456";"loginU36";"password36";2
37;"Борисов";"Борис";"Борисович";"Старший лейтенант";"11345678";"loginU37";"password37";1
38;"Савельев";"Савелий";"Савельевич";"Лейтенант";"13456789";"loginU38";"password38";2
39;"Марков";"Марко";"Маркович";"Капитан";"34567890";"loginU39";"password39";1
40;"Шорин";"Шора";"Шоринович";"Полковник";"45678901";"loginU40";"password40";1
41;"Филатов";"Филат";"Филатович";"Майор";"56789011";"loginU41";"password41";1
42;"Куприянов";"Куприян";"Куприянович";"Подполковник";"67890113";"loginU41";"password41";1
43;"Сычев";"Сыч";"Сычевич";"Старший лейтенант";"78901134";"loginU43";"password43";1
44;"Тетерев";"Тетерево";"Тетеревич";"Лейтенант";"89011345";"loginU44";"password44";1
45;"Константинов";"Константин";"Константинович";"Капитан";"90113456";"loginU45";"password45";1
46;"Нечаев";"Нечай";"Нечаевич";"Полковник";"11345678";"loginU46";"password46";1
